报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),9515,7420,6418,3737,4404,2178,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),727,750,37,114,73,--,
应收账款(万元),8938,14702,12088,13619,12018,4142,
预付款项(万元),90,46,41,27,29,70,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),356,384,80,81,27,64,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),10708,10918,9034,8821,6906,4820,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),697,536,751,679,88,38,
流动资产合计(万元),31031,34756,28449,27078,23546,11312,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),15606,9448,5476,--,--,--,
累计折旧(万元),3579,2200,1538,--,--,--,
固定资产净值(万元),12027,7247,3937,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),12027,7247,3937,3731,2580,2021,
在建工程(万元),7391,5264,20,--,--,--,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),2149,2218,1029,1039,--,--,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),1749,246,195,202,125,174,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),188,128,99,109,158,55,
其他非流动资产(万元),159,388,6,--,4,7,
非流动资产合计(万元),23663,15491,5286,5081,2868,2257,
资产总计(万元),54695,50248,33734,32158,26414,13569,
短期借款(万元),6482,10111,2769,5998,3778,362,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),1398,--,53,1029,--,--,
应付账款(万元),11869,10516,6165,4470,4064,2277,
预收账款(万元),52,3,3,3,--,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),581,463,304,302,359,253,
应交税费(万元),378,391,395,360,1336,1861,
应付利息(万元),38,36,1,39,25,--,
应付股利(万元),--,--,--,--,6000,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),505,7,2,11,3,3585,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,15,--,--,
流动负债合计(万元),21304,21528,9692,12227,15566,8339,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,0,0,
负债合计(万元),21304,21528,9692,12227,15566,8339,
实收资本(或股本)(万元),9390,9390,9390,9390,766,500,
资本公积(万元),1462,1462,1462,1462,5026,--,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),2835,2081,1526,920,473,473,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),19749,14882,10674,8161,4582,4257,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,-1,1,--,
归属于母公司股东权益合计(万元),33391,27856,23055,19932,10848,5230,
少数股东权益(万元),--,864,987,--,--,--,
所有者权益(或股东权益)合计(万元),33391,28720,24042,19932,10848,5230,
负债和所有者权益(或股东权益)总计(万元),54695,50248,33734,32158,26414,13569,		
  
