报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),511195,587328,483792,355756,503291,431026,317012,252450,254528,262383,146190,
结算备付金(万元),--,--,--,--,--,--,--,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,0,--,--,0,
交易性金融资产(万元),3925,4208,4041,2154,1620,1685,--,0,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,0,--,--,0,
应收票据(万元),94822,39374,100391,61393,266451,347244,353799,221020,72522,135494,24006,
应收账款(万元),108037,108632,30085,21556,14705,22068,25335,19270,13341,1038,3350,
预付款项(万元),8176,5089,6729,33374,57456,49312,68955,35271,36566,49747,16455,
应收保费(万元),--,--,--,--,--,--,--,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,0,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,0,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,0,--,--,0,
其他应收款(万元),27006,29022,13417,6681,6873,4941,9363,5539,5464,4279,451,
应收出口退税(万元), --,--,--,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,0,--,--,0,
存货(万元),635291,541179,638112,732999,422166,622825,754410,552428,722403,430587,229548,
待摊费用(万元),--,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,0,--,--,0,
其他流动资产(万元),10129,18592,6017,--,--,--,--,0,--,--,0,
流动资产合计(万元),1398582,1333426,1282583,1213914,1272562,1479101,1528874,1085978,1104823,883528,419999,
发放贷款及垫款(万元),--,--,--,--,--,--,--,0,--,--,0,
可供出售金融资产(万元),10000,10000,10000,--,0,--,--,0,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,0,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,0,--,--,0,
长期股权投资(万元),8638,8493,8757,18791,18726,16798,16749,16694,16694,10000,10000,
其他长期投资(万元),--,--,--,--,--,--,--,0,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,0,--,--,0,
固定资产原值(万元),2782730,2518613,2510509,2499445,1979516,1992937,1968910,1866263,1854961,1648765,1199445,
累计折旧(万元),1373014,1259031,1149979,1034481,929936,858002,774745,692880,611178,471370,409733,
固定资产净值(万元),1409716,1259582,1360529,1464964,1049580,1134935,1194165,1173383,1243783,1177395,789712,
固定资产减值准备(万元),--,--,--,--,--,--,--,0,0,--,0,
固定资产(万元),1409716,1259582,1360529,1464964,1049580,1134935,1194165,1173383,1243783,1177395,789712,
在建工程(万元),189844,387374,326702,276906,650132,441813,151262,150071,87206,41257,181133,
工程物资(万元),6807,1961,1562,4884,21433,8279,337,559,381,436,2616,
固定资产清理(万元),--,--,--,--,--,--,--,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,0,--,--,0,
无形资产(万元),179266,184506,189746,194992,200254,205515,210777,216038,221185,--,0,
开发支出(万元),--,--,--,--,--,--,--,0,--,--,0,
商誉(万元),--,--,--,--,--,--,--,0,--,--,0,
长期待摊费用(万元),--,--,--,--,--,--,--,0,--,--,0,
股权分置流通权(万元),--,--,--,--,--,--,--,0,--,--,0,
递延所得税资产(万元),10009,9913,7771,7706,8172,8573,40971,42153,42551,43533,17405,
其他非流动资产(万元),28211,27403,27006,--,--,--,--,0,--,--,0,
非流动资产合计(万元),1842491,1889233,1932074,1968243,1948297,1815913,1614259,1598897,1611800,1272621,1000866,
资产总计(万元),3241073,3222659,3214657,3182157,3220858,3295015,3143133,2684875,2716623,2156148,1420865,
短期借款(万元),630000,668000,694476,769846,678155,452264,469420,356000,335000,206600,196600,
向中央银行借款(万元),--,--,--,--,--,--,--,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,0,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,0,0,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,0,--,--,0,
应付票据(万元),667018,785316,603992,536800,412600,311642,322023,192000,186000,84050,53510,
应付账款(万元),623792,553185,610404,486442,389163,413071,279311,284210,461568,352747,150401,
预收账款(万元),125751,39326,77675,124958,118805,117431,194943,184645,149331,174810,95672,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,0,--,--,0,
应付职工薪酬(万元),676,841,1143,2165,4544,4869,3867,15693,19221,67988,62869,
应交税费(万元),2775,2819,9561,-13933,-3546,-7070,-23553,1377,4292,8657,-10220,
应付利息(万元),6767,7663,7588,6612,6908,2335,1089,1089,1089,1089,0,
应付股利(万元),--,--,--,--,--,--,--,0,--,--,0,
其他应交款(万元),--,--,--,--,--,--,--,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,0,--,--,0,
其他应付款(万元),109358,73569,37003,40118,34210,28575,24018,21371,20894,10004,28496,
预提费用(万元),--,--,--,--,--,--,--,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动负债(万元),158245,82681,56946,141773,405719,240265,145400,93000,44000,58000,21500,
其他流动负债(万元),--,--,--,--,--,--,--,0,--,--,0,
流动负债合计(万元),2324382,2213400,2098787,2094781,2046557,1563382,1416518,1149385,1221396,963944,598827,
长期借款(万元),111000,--,18000,43400,120600,442800,567600,397000,372000,365000,166000,
应付债券(万元),92364,257447,256615,255836,255108,176341,78601,78434,78276,78129,0,
长期应付款(万元),157433,207121,74700,46246,66019,34655,464,464,718,438,438,
专项应付款(万元),--,--,--,--,--,--,--,0,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,0,--,--,0,
长期递延收益(万元),2270,2568,2853,--,--,--,--,0,--,--,--,
递延所得税负债(万元),496,603,561,89,--,--,--,0,--,--,0,
其他非流动负债(万元),--,--,--,3038,--,--,--,0,--,--,0,
非流动负债合计(万元),363563,467739,352729,348609,441728,653796,646665,475898,450993,443567,166438,
负债合计(万元),2687944,2681139,2451516,2443390,2488285,2217179,2063183,1625283,1672389,1407511,765265,
实收资本(或股本)(万元),239368,239368,239368,239368,239368,239368,239368,239368,239368,201824,201824,
资本公积(万元),346191,346191,343691,343691,339691,339691,339691,336500,335076,82688,78001,
减:库存股(万元),--,--,--,--,--,--,--,0,--,--,0,
专项储备(万元),6065,5287,4369,3337,5145,278,278,278,--,--,--,
盈余公积(万元),172303,172303,172303,172303,172303,172303,171519,171009,169868,168413,157505,
一般风险准备(万元),--,--,--,--,--,--,--,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,0,--,--,0,
未分配利润(万元),-280334,-292658,-37595,-40448,-45653,304131,305916,299482,287882,295713,217751,
拟分配现金股利(万元),--,--,--,--,--,--,--,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,0,--,--,0,
归属于母公司股东权益合计(万元),483594,470492,722136,718252,710855,1055772,1056773,1046638,1032195,748637,655080,
少数股东权益(万元),69535,71027,41004,20515,21719,22064,23177,12954,12039,--,521,
所有者权益(或股东权益)合计(万元),553129,541520,763141,738766,732574,1077836,1079950,1059592,1044234,748637,655601,
负债和所有者权益(或股东权益)总计(万元),3241073,3222659,3214657,3182157,3220858,3295015,3143133,2684875,2716623,2156148,1420865,		
  
