报告日期,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),5184506,4469667,4569573,4495046,3970455,3761547,3674934,2835135,2600999,2184458,1543135,
营业收入(万元),5182237,4469667,4569573,4495046,3970455,3761547,3674934,2835135,2600999,2184458,1543135,
利息收入(万元),2261,--,--,--,--,--,--,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,0,--,0,0,
手续费及佣金收入(万元),8,--,--,--,--,--,--,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,0,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,0,--,0,0,
营业总成本(万元),4638689,3944270,4073717,4010606,3612501,3696184,3521972,2710883,2503174,2107990,1477977,
营业成本(万元),4243954,3541335,3658874,3621617,3256363,3487507,3348160,2557802,2362543,1991502,1359206,
利息支出(万元),126,--,--,--,--,--,--,0,--,0,0,
手续费及佣金支出(万元),34,--,--,--,--,--,--,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,0,--,0,0,
研发费用(万元),--,--,--,--,--,--,--,0,--,0,0,
退保金(万元),--,--,--,--,--,--,--,0,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,0,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,0,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,0,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,0,--,0,0,
营业税金及附加(万元),31226,19027,18948,18997,20402,9506,7186,6067,5518,4685,4132,
销售费用(万元),227168,229889,247418,236414,204486,141813,121871,109993,98895,85696,83386,
管理费用(万元),120664,143498,151531,135313,131092,55540,48232,36873,34016,27064,23074,
财务费用(万元),-1776,-379,-3947,-4390,1036,-395,-3761,-1974,-1426,-679,195,
资产减值损失(万元),17293,10899,892,2655,-879,2212,284,2122,3628,-277,7984,
公允价值变动收益(万元),--,--,0,--,--,--,--,0,--,0,0,
投资收益(万元),9808,15603,14996,8140,5293,4610,12111,9280,5760,11953,4513,
对联营企业和合营企业的投资收益(万元),1842,854,999,1931,2101,4372,12111,8424,5992,7165,4500,
汇兑收益(万元),--,--,--,--,--,--,--,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,0,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,0,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,0,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,0,--,0,0,
营业利润(万元),555625,540999,510852,492580,363247,69973,165073,133532,103585,88421,69671,
营业外收入(万元),34526,28869,27898,27205,29450,12321,4861,2261,1723,1454,2427,
营业外支出(万元),3951,2353,1479,5029,1609,1986,5721,912,1198,808,791,
非流动资产处置损失(万元),2973,1954,1319,1593,886,1184,1743,364,311,450,184,
利润总额(万元),586200,567515,537271,514756,391089,80307,164212,134881,104110,89067,71307,
所得税费用(万元),130046,125869,115725,107849,84193,15962,31487,24306,22340,23127,15537,
未确认投资损失(万元),--,--,--,--,--,--,--,0,--,0,0,
净利润(万元),456154,441646,421546,406907,306896,64346,132725,110575,81769,65941,55770,
归属于母公司所有者的净利润(万元),440506,425554,403986,385820,288523,56489,108928,91066,69889,56188,46752,
被合并方在合并前实现净利润(万元),--,--,--,--,80648,--,--,0,--,--,--,
少数股东损益(万元),15649,16092,17559,21087,18372,7856,23797,19509,11880,9753,9018,
基本每股收益,1.33,1.29,1.84,1.75,2.62,0.93,1.8,1.5,1.15,0.93,0.77,
稀释每股收益,1.33,1.29,1.84,1.75,2.62,0.93,1.8,1.5,1.15,0.93,0.77,
